1:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
3:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
4:中国采招网        4001-6000
5582:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
5583:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
5584:中国采招网        4001-6000
5585:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
5586:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
5587:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
5588:软件工程师        北京华开领航科技有限责任公司        15000-20000
5589:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
5590:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
5591:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
5592:软件工程师        北京华开领航科技有限责任公司        10000-15000
5593:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
5594:软件开发工程师        北京北变微电网技术有限公司        7000-9000
5595:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
5596:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
5597:软件测试工程师        北京万里红科技股份有限公司        6000-12000
5598:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
5599:软件工程师        北京慧清科技有限公司        12000-20000
5600:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
5601:软件工程师        北京优尔博特创新科技有限公司        15001-20000
5602:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
5603:软件开发工程师        北京天元特通科技有限公司        10001-15000
5604:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
5605:软件销售        厦门安妮股份有限公司        8001-10000
5606:软件工程师        北京慧清科技有限公司        12000-20000
5607:软件工程师        北京华仪未来科技发展有限公司        10001-15000
5608:软件开发项目经理        北京店帮科技有限公司        10001-15000
5609:软件工程师        北京起鹏科技发展有限公司        10001-15000
5610:软件工程师        北京兆维科技开发有限公司        10000-20000
5611:软件测试工程师        北京万里红科技股份有限公司        5000-10000
5612:软件工程师        北京泰和利通科技有限公司        10000-20000
5613:软件工程师        北京医模科技股份有限公司        10001-15000
5614:软件项目经理        北京双旗世纪科技有限公司        15001-20000
5615:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
5616:软件开发工程师        北京固鸿科技有限公司        10000-20000
5617:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
5618:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
5619:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
5620:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
5621:软件开发工程师        北京万里红科技股份有限公司        6000-12000
5622:软件区域销售        北京华思维信息技术有限公司        5000-10000
5623:软件工程师        北京安怀信科技股份有限公司        10001-15000
5624:软件工程师        沈阳东软医疗系统有限公司        15001-20000
5625:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
5626:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
5627:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
5628:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
5629:中国采招网        4001-6000
5630:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
5631:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
5632:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
5633:软件工程师        北京华开领航科技有限责任公司        15000-20000
5634:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
5635:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
5636:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
5637:软件工程师        北京华开领航科技有限责任公司        10000-15000
5638:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
5639:软件开发工程师        北京北变微电网技术有限公司        7000-9000
5640:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
5641:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
5642:软件测试工程师        北京万里红科技股份有限公司        6000-12000
5643:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
5644:软件工程师        北京慧清科技有限公司        12000-20000
5645:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
5646:软件工程师        北京优尔博特创新科技有限公司        15001-20000
5647:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
5648:软件开发工程师        北京天元特通科技有限公司        10001-15000
5649:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
5650:软件销售        厦门安妮股份有限公司        8001-10000
5651:软件工程师        北京慧清科技有限公司        12000-20000
5652:软件工程师        北京华仪未来科技发展有限公司        10001-15000
5653:软件开发项目经理        北京店帮科技有限公司        10001-15000
5654:软件工程师        北京起鹏科技发展有限公司        10001-15000
5655:软件工程师        北京兆维科技开发有限公司        10000-20000
5656:软件测试工程师        北京万里红科技股份有限公司        5000-10000
5657:软件工程师        北京泰和利通科技有限公司        10000-20000
5658:软件工程师        北京医模科技股份有限公司        10001-15000
5659:软件项目经理        北京双旗世纪科技有限公司        15001-20000
5660:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
5661:软件开发工程师        北京固鸿科技有限公司        10000-20000
5662:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
5663:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
5664:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
5665:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
5666:软件开发工程师        北京万里红科技股份有限公司        6000-12000
5667:软件区域销售        北京华思维信息技术有限公司        5000-10000
5668:软件工程师        北京安怀信科技股份有限公司        10001-15000
5669:软件工程师        沈阳东软医疗系统有限公司        15001-20000
5670:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
5671:软件工程师        北京华仪未来科技发展有限公司        10001-15000
5672:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
5673:软件工程师        北京辉大科技发展有限公司        8000-16000
5674:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
5675:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
5676:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
5677:软件销售经理        北京可维创业科技有限公司        6000-12000
5678:软件测试工程师        北京华夏电通科技有限公司        8000-15000
5679:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
5680:软件客户代表        北京世纪兆元科技有限公司        10001-15000
5681:软件销售        挚友诚达科技(北京)有限公司        6001-8000
5682:软件工程师        北京汇金科技有限责任公司        9000-13000
5683:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
5684:软件工程师        北京远大创新科技有限公司        8000-12000
5685:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
5686:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
5687:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
5688:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
5689:中国采招网        4001-6000
5690:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
5691:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
5692:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
5693:软件工程师        北京华开领航科技有限责任公司        15000-20000
5694:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
5695:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
5696:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
5697:软件工程师        北京华开领航科技有限责任公司        10000-15000
5698:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
5699:软件开发工程师        北京北变微电网技术有限公司        7000-9000
5700:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
5701:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
5702:软件测试工程师        北京万里红科技股份有限公司        6000-12000
5703:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
5704:软件工程师        北京慧清科技有限公司        12000-20000
5705:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
5706:软件工程师        北京优尔博特创新科技有限公司        15001-20000
5707:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
5708:软件开发工程师        北京天元特通科技有限公司        10001-15000
5709:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
5710:软件销售        厦门安妮股份有限公司        8001-10000
5711:软件工程师        北京慧清科技有限公司        12000-20000
5712:软件工程师        北京华仪未来科技发展有限公司        10001-15000
5713:软件开发项目经理        北京店帮科技有限公司        10001-15000
5714:软件工程师        北京起鹏科技发展有限公司        10001-15000
5715:软件工程师        北京兆维科技开发有限公司        10000-20000
5716:软件测试工程师        北京万里红科技股份有限公司        5000-10000
5717:软件工程师        北京泰和利通科技有限公司        10000-20000
5718:软件工程师        北京医模科技股份有限公司        10001-15000
5719:软件项目经理        北京双旗世纪科技有限公司        15001-20000
5720:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
5721:软件开发工程师        北京固鸿科技有限公司        10000-20000
5722:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
5723:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
5724:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
5725:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
5726:软件开发工程师        北京万里红科技股份有限公司        6000-12000
5727:软件区域销售        北京华思维信息技术有限公司        5000-10000
5728:软件工程师        北京安怀信科技股份有限公司        10001-15000
5729:软件工程师        沈阳东软医疗系统有限公司        15001-20000
5730:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
5731:软件工程师        北京华仪未来科技发展有限公司        10001-15000
5732:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
5733:软件工程师        北京辉大科技发展有限公司        8000-16000
5734:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
5735:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
5736:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
5737:软件销售经理        北京可维创业科技有限公司        6000-12000
5738:软件测试工程师        北京华夏电通科技有限公司        8000-15000
5739:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
5740:软件客户代表        北京世纪兆元科技有限公司        10001-15000
5741:软件销售        挚友诚达科技(北京)有限公司        6001-8000
5742:软件工程师        北京汇金科技有限责任公司        9000-13000
5743:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
5744:软件工程师        北京远大创新科技有限公司        8000-12000
5745:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
5746:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
5747:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
5748:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
5749:中国采招网        4001-6000
5750:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
5751:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
5752:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
5753:软件工程师        北京华开领航科技有限责任公司        15000-20000
5754:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
5755:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
5756:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
5757:软件工程师        北京华开领航科技有限责任公司        10000-15000
5758:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
5759:软件开发工程师        北京北变微电网技术有限公司        7000-9000
5760:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
5761:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
5762:软件测试工程师        北京万里红科技股份有限公司        6000-12000
5763:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
5764:软件工程师        北京慧清科技有限公司        12000-20000
5765:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
5766:软件工程师        北京优尔博特创新科技有限公司        15001-20000
5767:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
5768:软件开发工程师        北京天元特通科技有限公司        10001-15000
5769:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
5770:软件销售        厦门安妮股份有限公司        8001-10000
5771:软件工程师        北京慧清科技有限公司        12000-20000
5772:软件工程师        北京华仪未来科技发展有限公司        10001-15000
5773:软件开发项目经理        北京店帮科技有限公司        10001-15000
5774:软件工程师        北京起鹏科技发展有限公司        10001-15000
5775:软件工程师        北京兆维科技开发有限公司        10000-20000
5776:软件测试工程师        北京万里红科技股份有限公司        5000-10000
5777:软件工程师        北京泰和利通科技有限公司        10000-20000
5778:软件工程师        北京医模科技股份有限公司        10001-15000
5779:软件项目经理        北京双旗世纪科技有限公司        15001-20000
5780:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
5781:软件开发工程师        北京固鸿科技有限公司        10000-20000
5782:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
5783:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
5784:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
5785:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
5786:软件开发工程师        北京万里红科技股份有限公司        6000-12000
5787:软件区域销售        北京华思维信息技术有限公司        5000-10000
5788:软件工程师        北京安怀信科技股份有限公司        10001-15000
5789:软件工程师        沈阳东软医疗系统有限公司        15001-20000
5790:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
5791:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
5792:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
5793:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
5794:中国采招网        4001-6000
5795:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
5796:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
5797:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
5798:软件工程师        北京华开领航科技有限责任公司        15000-20000
5799:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
5800:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
5801:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
5802:软件工程师        北京华开领航科技有限责任公司        10000-15000
5803:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
5804:软件开发工程师        北京北变微电网技术有限公司        7000-9000
5805:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
5806:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
5807:软件测试工程师        北京万里红科技股份有限公司        6000-12000
5808:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
5809:软件工程师        北京慧清科技有限公司        12000-20000
5810:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
5811:软件工程师        北京优尔博特创新科技有限公司        15001-20000
5812:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
5813:软件开发工程师        北京天元特通科技有限公司        10001-15000
5814:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
5815:软件销售        厦门安妮股份有限公司        8001-10000
5816:软件工程师        北京慧清科技有限公司        12000-20000
5817:软件工程师        北京华仪未来科技发展有限公司        10001-15000
5818:软件开发项目经理        北京店帮科技有限公司        10001-15000
5819:软件工程师        北京起鹏科技发展有限公司        10001-15000
5820:软件工程师        北京兆维科技开发有限公司        10000-20000
5821:软件测试工程师        北京万里红科技股份有限公司        5000-10000
5822:软件工程师        北京泰和利通科技有限公司        10000-20000
5823:软件工程师        北京医模科技股份有限公司        10001-15000
5824:软件项目经理        北京双旗世纪科技有限公司        15001-20000
5825:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
5826:软件开发工程师        北京固鸿科技有限公司        10000-20000
5827:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
5828:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
5829:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
5830:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
5831:软件开发工程师        北京万里红科技股份有限公司        6000-12000
5832:软件区域销售        北京华思维信息技术有限公司        5000-10000
5833:软件工程师        北京安怀信科技股份有限公司        10001-15000
5834:软件工程师        沈阳东软医疗系统有限公司        15001-20000
5835:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
5836:软件工程师        北京华仪未来科技发展有限公司        10001-15000
5837:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
5838:软件工程师        北京辉大科技发展有限公司        8000-16000
5839:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
5840:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
5841:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
5842:软件销售经理        北京可维创业科技有限公司        6000-12000
5843:软件测试工程师        北京华夏电通科技有限公司        8000-15000
5844:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
5845:软件客户代表        北京世纪兆元科技有限公司        10001-15000
5846:软件销售        挚友诚达科技(北京)有限公司        6001-8000
5847:软件工程师        北京汇金科技有限责任公司        9000-13000
5848:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
5849:软件工程师        北京远大创新科技有限公司        8000-12000
5850:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
5851:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
5852:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
5853:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
5854:中国采招网        4001-6000
5855:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
5856:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
5857:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
5858:软件工程师        北京华开领航科技有限责任公司        15000-20000
5859:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
5860:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
5861:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
5862:软件工程师        北京华开领航科技有限责任公司        10000-15000
5863:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
5864:软件开发工程师        北京北变微电网技术有限公司        7000-9000
5865:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
5866:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
5867:软件测试工程师        北京万里红科技股份有限公司        6000-12000
5868:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
5869:软件工程师        北京慧清科技有限公司        12000-20000
5870:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
5871:软件工程师        北京优尔博特创新科技有限公司        15001-20000
5872:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
5873:软件开发工程师        北京天元特通科技有限公司        10001-15000
5874:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
5875:软件销售        厦门安妮股份有限公司        8001-10000
5876:软件工程师        北京慧清科技有限公司        12000-20000
5877:软件工程师        北京华仪未来科技发展有限公司        10001-15000
5878:软件开发项目经理        北京店帮科技有限公司        10001-15000
5879:软件工程师        北京起鹏科技发展有限公司        10001-15000
5880:软件工程师        北京兆维科技开发有限公司        10000-20000
5881:软件测试工程师        北京万里红科技股份有限公司        5000-10000
5882:软件工程师        北京泰和利通科技有限公司        10000-20000
5883:软件工程师        北京医模科技股份有限公司        10001-15000
5884:软件项目经理        北京双旗世纪科技有限公司        15001-20000
5885:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
5886:软件开发工程师        北京固鸿科技有限公司        10000-20000
5887:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
5888:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
5889:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
5890:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
5891:软件开发工程师        北京万里红科技股份有限公司        6000-12000
5892:软件区域销售        北京华思维信息技术有限公司        5000-10000
5893:软件工程师        北京安怀信科技股份有限公司        10001-15000
5894:软件工程师        沈阳东软医疗系统有限公司        15001-20000
5895:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
5896:软件工程师        北京华仪未来科技发展有限公司        10001-15000
5897:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
5898:软件工程师        北京辉大科技发展有限公司        8000-16000
5899:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
5900:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
5901:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
5902:软件销售经理        北京可维创业科技有限公司        6000-12000
5903:软件测试工程师        北京华夏电通科技有限公司        8000-15000
5904:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
5905:软件客户代表        北京世纪兆元科技有限公司        10001-15000
5906:软件销售        挚友诚达科技(北京)有限公司        6001-8000
5907:软件工程师        北京汇金科技有限责任公司        9000-13000
5908:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
5909:软件工程师        北京远大创新科技有限公司        8000-12000
5910:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
5911:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
5912:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
5913:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
5914:中国采招网        4001-6000
5915:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
5916:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
5917:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
5918:软件工程师        北京华开领航科技有限责任公司        15000-20000
5919:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
5920:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
5921:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
5922:软件工程师        北京华开领航科技有限责任公司        10000-15000
5923:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
5924:软件开发工程师        北京北变微电网技术有限公司        7000-9000
5925:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
5926:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
5927:软件测试工程师        北京万里红科技股份有限公司        6000-12000
5928:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
5929:软件工程师        北京慧清科技有限公司        12000-20000
